100/03-24-083-25W6/00,207,1333
102/05-26-083-25W6/00,1424,4263.5
100/10-30-083-25W6/00,253.4,1467.7
102/16-33-083-25W6/00,1418,3615
100/09-34-083-25W6/00,1390.9,3853.8
100/12-36-083-25W6/00,179.3,1345
100/16-36-083-25W6/00,611.8,2469.6
100/16-36-083-25W6/02,611.8,2469.6
100/16-36-083-25W6/03,611.8,2469.6
102/08-33-084-18W6/00,166,939.3
100/16-05-084-24W6/00,-1,1212
100/04-20-084-24W6/00,1850,2345
100/11-02-084-25W6/03,1700,4206.3
100/09-22-084-25W6/00,830,1100.7
100/08-09-085-14W6/00,1625,1781
100/08-09-085-14W6/02,1625,1781
102/16-01-085-18W6/00,235,1560
100/15-12-085-22W6/00,362.7,2106.5
100/15-12-085-22W6/02,362.7,2106.5
100/09-07-085-25W6/00,360.7,2371.6
100/14-31-086-18W6/00,1060,1596.6
100/14-31-086-18W6/02,1060,1596.6
100/14-31-086-18W6/03,1060,1596.6
100/01-14-086-19W6/00,301.7,1947.5
100/01-14-086-19W6/02,301.7,1947.5
100/14-35-086-20W6/00,306,1948
100/14-35-086-20W6/02,306,1948
102/16-12-086-24W6/00,20,619
100/06-16-087-20W6/00,1500,1700
100/06-16-087-20W6/02,1500,1700
102/06-05-087-23W6/00,35,1635.5
102/06-05-087-23W6/02,35,1635.5
102/06-05-087-23W6/03,35,1635.5
102/06-05-087-23W6/04,35,1635.5
102/13-16-087-23W6/00,610.6,1901.1
102/06-18-087-23W6/00,258.5,1627
100/01-19-087-23W6/00,1009.6,2109.6
100/04-29-087-23W6/00,1100,1875
102/12-31-087-23W6/00,25,1600
102/12-06-087-24W6/00,361.2,2192
100/15-11-087-25W6/02,1440,1718
100/03-27-088-14W6/00,249.7,1652.9
100/03-27-088-14W6/02,249.7,1652.9
100/03-27-088-14W6/03,249.7,1652.9
100/06-29-088-14W6/00,224.5,1352.3
100/09-13-088-15W6/00,225.1,1384.3
100/09-13-088-15W6/02,225.1,1384.3
102/09-33-088-18W6/00,1007,1014
102/09-33-088-18W6/02,1007,1014
100/16-08-088-19W6/00,1110,1210
100/16-08-088-19W6/02,1110,1210
100/08-13-088-19W6/00,-1,1407.3
100/15-06-088-21W6/00,275,1738.8
100/15-06-088-21W6/02,275,1738.8
100/05-07-088-22W6/00,272.6,1772
100/05-07-088-22W6/02,272.6,1772
100/16-10-088-23W6/00,1650,1890.5
100/02-23-088-23W6/00,1300,1841.5
100/04-08-088-24W6/00,629.2,2043.9
100/07-29-088-25W6/00,200,1118
100/11-29-088-25W6/00,177,1165
200/c-095-F 082-G-10/00,111.5,876.1
200/b-098-F 082-G-10/00,111,1100
200/d-082-L 082-J-02/00,45.1,1072.6
200/d-093-L 082-J-02/00,45,1042
200/c-074-I 093-I-08/00,2737,3516
200/c-074-I 093-I-08/02,2737,3516
200/c-074-I 093-I-08/03,2737,3516
200/c-092-I 093-I-08/00,566,566
200/c-092-I 093-I-08/02,2540.5,3525.1
200/c-092-I 093-I-08/03,2540.5,3525.1
200/c-092-I 093-I-08/04,2540.5,3525.1
200/c-092-I 093-I-08/05,2540.5,3525.1
200/c-092-I 093-I-08/06,2540.5,3525.1
200/c-004-A 093-I-09/00,506,3464
200/c-004-A 093-I-09/02,506,3464
200/c-004-A 093-I-09/03,506,3464
200/a-008-A 093-I-09/00,3150,3275
200/a-008-A 093-I-09/02,3150,3275
200/a-008-A 093-I-09/03,3150,3275
200/b-013-A 093-I-09/00,2345,3421.6
200/a-039-A 093-I-09/00,505,3242.1
200/a-039-A 093-I-09/02,505,3242.1
200/c-042-A 093-I-09/00,519,3550
200/c-042-A 093-I-09/02,519,3550
200/c-042-A 093-I-09/03,519,3550
200/c-053-A 093-I-09/02,2665,3565
200/c-053-A 093-I-09/03,2665,3565
200/c-053-A 093-I-09/04,2665,3565
200/c-053-A 093-I-09/05,2665,3565
200/c-053-A 093-I-09/06,2665,3565
200/c-064-A 093-I-09/02,506.3,3383.8
200/c-064-A 093-I-09/03,506.3,3383.8
200/c-064-A 093-I-09/04,506.3,3383.8
200/c-064-A 093-I-09/05,506.3,3383.8
200/d-073-A 093-I-09/00,620.3,3503
200/d-073-A 093-I-09/02,620.3,3503
200/d-073-A 093-I-09/03,620.3,3503
200/d-018-G 093-I-09/00,605,3348
202/d-057-G 093-I-09/00,470,2998
202/d-057-G 093-I-09/02,470,2998
200/a-007-H 093-I-09/00,604,3358
200/a-007-H 093-I-09/02,604,3358
200/a-007-H 093-I-09/03,604,3358
202/a-038-H 093-I-09/00,397.5,2595
200/a-040-H 093-I-09/00,616,3230
200/a-040-H 093-I-09/02,616,3230
200/a-040-H 093-I-09/03,616,3230
200/a-024-I 093-I-09/00,201,1391.5
200/a-024-I 093-I-09/02,201,1391.5
200/a-024-I 093-I-09/03,201,1391.5
200/a-024-I 093-I-09/04,201,1391.5
200/a-024-I 093-I-09/05,201,1391.5
200/d-050-I 093-I-09/00,198,2738
200/a-064-I 093-I-09/00,2890,3702
200/a-064-I 093-I-09/02,2890,3702
200/c-060-J 093-I-09/00,2150,3184.5
200/c-060-J 093-I-09/02,2150,3184.5
200/c-060-J 093-I-09/03,2150,3184.5
200/c-060-J 093-I-09/04,2150,3184.5
202/b-029-L 093-I-09/00,158.5,1059
200/b-011-I 093-I-10/00,30,559.6
200/a-044-G 093-I-14/00,1104.6,1431
200/c-013-I 093-I-14/00,606,2788.3
200/c-013-I 093-I-14/02,606,2788.3
200/c-013-I 093-I-14/03,606,2788.3
200/d-078-J 093-I-14/00,605,1995
200/b-050-E 093-I-15/00,1585,1851
200/b-027-H 093-I-15/00,436,2600
200/b-027-H 093-I-15/02,2090,2805
200/b-027-H 093-I-15/03,2090,2805
200/b-027-H 093-I-15/04,2090,2805
200/b-027-H 093-I-15/05,2090,2805
200/a-030-K 093-I-15/00,604.2,2133.3
200/c-030-L 093-I-15/00,1658,3344
200/b-053-A 093-I-16/00,459,2993
200/a-061-A 093-I-16/00,401,2939
200/d-008-B 093-I-16/00,3095,3631
200/d-008-B 093-I-16/02,3095,3631
200/d-008-B 093-I-16/03,3095,3631
200/d-057-C 093-I-16/00,531,3106
200/b-066-C 093-I-16/02,3127.5,3550.3
200/b-066-C 093-I-16/03,3127.5,3550.3
200/b-066-C 093-I-16/04,3127.5,3550.3
200/b-066-C 093-I-16/05,3127.5,3550.3
200/b-066-C 093-I-16/06,3127.5,3550.3
200/b-066-C 093-I-16/07,3127.5,3550.3
200/b-053-D 093-I-16/00,-1,3649
200/a-083-D 093-I-16/02,3900,4558
200/d-083-D 093-I-16/00,2800,3922
200/b-088-D 093-I-16/00,414.3,2827.9
200/b-030-F 093-I-16/00,2872,3575
200/b-062-F 093-I-16/00,454,3441
200/b-062-F 093-I-16/02,454,3441
200/b-062-F 093-I-16/03,454,3441
200/d-002-G 093-I-16/00,2425,3333
200/d-002-G 093-I-16/02,2425,3333
200/d-002-G 093-I-16/03,2425,3333
200/d-002-G 093-I-16/04,2425,3333
200/d-015-G 093-I-16/02,302,2998
200/d-015-G 093-I-16/03,302,2998
200/d-015-G 093-I-16/04,302,2998
202/d-015-G 093-I-16/00,427.8,2459
202/d-015-G 093-I-16/02,427.8,2459
200/d-026-G 093-I-16/00,1357,2902
200/d-026-G 093-I-16/02,1357,2902
200/d-035-G 093-I-16/00,2864,3661
200/d-035-G 093-I-16/02,2864,3661
200/d-035-G 093-I-16/03,2864,3661
200/c-036-G 093-I-16/00,402,3543
200/c-036-G 093-I-16/02,402,3543
200/c-048-G 093-I-16/02,498,3565
200/c-048-G 093-I-16/03,498,3565
200/b-085-G 093-I-16/00,493,3530
200/b-085-G 093-I-16/02,493,3530
200/b-085-G 093-I-16/03,493,3530
200/b-085-G 093-I-16/04,493,3530
200/a-099-G 093-I-16/00,515,3555
200/a-099-G 093-I-16/02,515,3555
200/a-099-G 093-I-16/03,515,3555
200/b-092-H 093-I-16/00,2595,3081
200/b-092-H 093-I-16/02,2595,3081
200/b-092-H 093-I-16/03,2595,3081
200/c-034-I 093-I-16/00,493,2658
200/c-034-I 093-I-16/02,493,2658
200/c-034-I 093-I-16/03,493,2658
200/c-034-I 093-I-16/04,493,2658
200/b-046-I 093-I-16/00,460,3211
200/b-046-I 093-I-16/02,460,3211
200/b-046-I 093-I-16/03,460,3211
200/a-049-I 093-I-16/00,444,3305
200/a-049-I 093-I-16/02,444,3305
200/d-008-K 093-I-16/00,515,3461
200/d-008-K 093-I-16/02,515,3461
200/b-022-K 093-I-16/00,431,3428
200/d-073-A 093-O-08/00,3672,4873
200/c-051-K 093-O-08/03,4900,5301
200/a-004-B 093-P-01/00,449,3212
200/a-004-B 093-P-01/02,449,3212
200/a-004-B 093-P-01/03,449,3212
200/a-004-B 093-P-01/04,449,3212
200/b-008-B 093-P-01/00,456,3327
200/b-008-B 093-P-01/02,456,3327
200/b-008-B 093-P-01/03,456,3327
200/a-062-B 093-P-01/02,2200,2363
200/c-095-B 093-P-01/00,2529,3911
200/d-034-E 093-P-01/00,369,2670
200/b-042-E 093-P-01/00,375,2450
200/b-053-E 093-P-01/00,376,2522
200/d-058-E 093-P-01/00,388,2585
