User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/01-25-079-14W6/00, 308.5, 2190.5, 0, ABOVE Kbfs, 1882.1, TRmontney
100/09-30-079-14W6/00, 1525, 2060, 1461.4, Jfernie, 1976.4, TRmontney
100/03-21-079-17W6/00, 403, 2599, 0, ABOVE Kbfs, 2596, PRbelloy
102/03-24-079-17W6/00, 457.2, 4117.5, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/11-36-079-17W6/00, 369, 2406.6, 0, ABOVE Kpaddy, 1407, BELOW TRdoig_p
100/01-04-079-18W6/00, 417, 2722, 0, ABOVE Kbfs, 2699, PRbelloy
100/03-15-079-19W6/00, 450.5, 2597, 0, ABOVE Kbfs, 2388, TRmontney
100/03-15-079-19W6/02, 450.5, 2597, 0, ABOVE Kbfs, 2388, TRmontney
100/11-04-079-20W6/00, 2212, 2999.6, 2188.9, TRbndrylk, 1407, BELOW TRdoig_p
100/16-28-079-21W6/00, 640.6, 3072.1, 0, ABOVE Kbluesky, 2786, TRmontney
100/13-17-080-13W6/00, 525, 3158, 0, ABOVE Kpeace_rv, 2918.8, Mbanff
100/07-06-080-15W6/00, 1049, 1983, 1017.9, Kfalher, 1971.8, TRhalfway
102/13-06-080-15W6/00, 603, 1680, 0, ABOVE Kpaddy, 1677.8, TRbaldnnl
100/07-25-080-16W6/00, 2396, 3807, 2373.4, Mtaylr_fl, 3594.9, Dwabamun
100/07-25-080-16W6/02, 2396, 3807, 2373.4, Mtaylr_fl, 3594.9, Dwabamun
100/03-13-080-17W6/00, 161, 846.5, 0, ABOVE Kshftbury, 800.8, Knotikwn
100/10-36-080-17W6/00, 1350, 2297.8, 1307.9, Jnikanssn, 1407, BELOW TRdoig_p
100/07-31-080-18W6/00, 513, 4138.4, 0, ABOVE Kpeace_rv, 1407, BELOW TRdoig_p
100/05-09-080-19W6/00, 457, 2717, 0, ABOVE Kbfs, 2405.2, TRmontney
100/05-09-080-19W6/02, 457, 2717, 0, ABOVE Kbfs, 2405.2, TRmontney
100/05-09-080-19W6/03, 457, 2717, 0, ABOVE Kbfs, 2405.2, TRmontney
100/05-09-080-19W6/04, 457, 2717, 0, ABOVE Kbfs, 2405.2, TRmontney
100/11-09-080-20W6/00, 2106, 2591, 0, ABOVE TRartex, 1407, BELOW TRdoig_p
100/06-26-080-20W6/00, 1600, 2389, 1563.2, Jfernie, 2378, TRmontney
100/05-01-081-15W6/00, 621, 2083.3, 0, ABOVE Kpaddy, 1537.9, TRbndrylk
100/08-18-081-15W6/00, 1450, 3552, 1436.6, TRbaldnnl, 1407, BELOW TRdoig_p
100/08-18-081-15W6/02, 1450, 3552, 1436.6, TRbaldnnl, 1407, BELOW TRdoig_p
100/08-18-081-15W6/03, 1450, 3552, 1436.6, TRbaldnnl, 1407, BELOW TRdoig_p
100/03-33-081-15W6/00, 550, 3230, 0, ABOVE Kpeace_rv, 3013, Mbanff
100/03-33-081-15W6/02, 550, 3230, 0, ABOVE Kpeace_rv, 3013, Mbanff
100/03-33-081-15W6/03, 550, 3230, 0, ABOVE Kpeace_rv, 3013, Mbanff
100/06-33-081-15W6/00, 282, 1705, 0, ABOVE Kbfs, 1693.5, TRdoig
100/06-33-081-15W6/02, 282, 1705, 0, ABOVE Kbfs, 1693.5, TRdoig
100/04-13-081-17W6/00, 309, 3902.4, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/02-28-081-17W6/00, 557, 2155, 0, ABOVE Kbluesky, 1407, BELOW TRdoig_p
100/10-31-081-17W6/00, 205, 1378, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/13-09-081-18W6/00, 360, 2402, 0, ABOVE Kpaddy, 2089.5, TRmontney
100/05-18-081-18W6/00, 406, 2432, 0, ABOVE Kbluesky, 2099, TRmontney
100/04-20-081-18W6/00, 406, 2353, 0, ABOVE Kbluesky, 2339.2, PRbelloy
102/01-02-081-19W6/00, 3679, 4002, 3503, Mbanff, 3990, preCamb
100/08-08-081-19W6/00, 408, 2499, 0, ABOVE Kpeace_rv, 1407, BELOW TRdoig_p
102/09-21-081-19W6/00, 402.3, 2234.1, 0, ABOVE Kbluesky, 2220, PRbelloy
100/16-32-081-19W6/00, 407, 2093, 0, ABOVE Kharmon, 1407, BELOW TRdoig_p
100/16-06-081-20W6/00, 610, 2280, 556.1, Kfalher, 2067.6, TRmontney
100/14-36-081-20W6/00, 700, 2102, 494.5, Kfalher, 2097.5, PRbelloy
100/16-22-081-22W6/00, 301, 1851.5, 0, ABOVE Kbluesky, 1407, BELOW TRdoig_p
100/16-34-081-22W6/00, 305, 2391.9, 0, ABOVE Kbluesky, 2170, Mtaylr_fl
100/16-34-081-22W6/02, 305, 2391.9, 0, ABOVE Kbluesky, 2170, Mtaylr_fl
100/07-05-082-17W6/00, 1070, 2256.1, 779.9, Knotikwn, 2225.5, PRbelloy
100/05-03-082-18W6/00, 1315, 2190, 1284.1, Jrock_ck, 1407, BELOW TRdoig_p
100/11-05-082-18W6/00, 379, 2226.4, 0, ABOVE Kpeace_rv, 1985, PRbelloy
102/07-05-082-19W6/00, 1900, 2118, 1822, TRdoig, 1407, BELOW TRdoig_p
102/07-05-082-19W6/02, 1900, 2118, 1822, TRdoig, 1407, BELOW TRdoig_p
102/07-05-082-19W6/03, 1900, 2118, 1822, TRdoig, 1407, BELOW TRdoig_p
100/09-07-082-20W6/00, 1751.6, 2096.6, 1652, TRdoig, 2083.5, PRbelloy
102/05-15-082-21W6/00, 238.5, 1497.5, 0, ABOVE Kpeace_rv, 1465.9, TRdoig
100/02-04-082-22W6/00, 511, 2010.5, 0, ABOVE Kbluesky, 1817, TRmontney
100/13-14-082-22W6/00, 307, 2027.4, 295, Kpeace_rv, 1959, PRbelloy
100/13-14-082-22W6/02, 307, 2027.4, 295, Kpeace_rv, 1959, PRbelloy
100/01-29-082-22W6/00, 303.5, 2072.4, 0, ABOVE Kharmon, 1972, PRbelloy
100/13-36-082-22W6/00, 348, 1953, 298.5, Kpeace_rv, 1937.5, PRbelloy
100/16-12-082-23W6/00, 248, 1630.5, 0, ABOVE Kbluesky, 1568, TRdoig
100/08-13-082-23W6/00, 940, 1205, 815.8, Jnikanssn, 1196.3, TRcecil
100/10-16-083-14W6/00, 254, 1648.5, 0, ABOVE Kpeace_rv, 1594.2, TRmontney
100/10-16-083-14W6/02, 254, 1648.5, 0, ABOVE Kpeace_rv, 1594.2, TRmontney
102/04-09-083-17W6/00, 1150, 1536, 1149.9, Jnordegg, 1518.6, TRdoig
100/03-01-083-21W6/00, 303.5, 1928.4, 0, ABOVE Kpeace_rv, 1902, PRbelloy
100/07-14-083-21W6/00, 359, 1895, 0, ABOVE Knotikwn, 1878.5, PRbelloy
100/07-27-083-21W6/00, 358, 1923.6, 0, ABOVE Knotikwn, 1407, BELOW TRdoig_p
100/09-01-083-22W6/00, 263, 1648, 0, ABOVE Knotikwn, 1407, BELOW TRdoig_p
100/11-03-083-22W6/00, 280, 1584.5, 0, ABOVE Kharmon, 1553, TRdoig
100/11-03-083-22W6/02, 280, 1584.5, 0, ABOVE Kharmon, 1553, TRdoig
100/11-03-083-22W6/03, 280, 1584.5, 0, ABOVE Kharmon, 1553, TRdoig
100/01-23-083-24W6/00, 600.7, 2049, 0, ABOVE Kbluesky, 1407, BELOW TRdoig_p
100/01-31-083-24W6/00, 359.5, 2414.6, 0, ABOVE Kharmon, 2384.3, PRbelloy
100/01-31-083-24W6/02, 359.5, 2414.6, 0, ABOVE Kharmon, 2384.3, PRbelloy
100/12-17-083-25W6/03, 2000, 4235, 0, ABOVE TRdoig_ph, 1407, BELOW TRdoig_p
100/03-24-083-25W6/00, 207, 1333, 0, ABOVE Kbluesky, 1290.8, Jfernie
102/05-26-083-25W6/00, 1424, 4263.5, 1414, Jnordegg, 1407, BELOW TRdoig_p
100/10-30-083-25W6/00, 253.4, 1467.7, 0, ABOVE Kbluesky, 1431.5, Jfernie
102/16-33-083-25W6/00, 1418, 3615, 1413.3, Jnordegg, 1407, BELOW TRdoig_p
100/09-34-083-25W6/00, 1390.9, 3853.8, 1297.6, Jfernie, 1407, BELOW TRdoig_p
100/12-36-083-25W6/00, 179.3, 1345, 0, ABOVE Kbluesky, 1337.3, Jnordegg
100/16-36-083-25W6/00, 611.8, 2469.6, 0, ABOVE Kbluesky, 2452, Mdebolt_U
100/16-36-083-25W6/02, 611.8, 2469.6, 0, ABOVE Kbluesky, 2452, Mdebolt_U
100/16-36-083-25W6/03, 611.8, 2469.6, 0, ABOVE Kbluesky, 2452, Mdebolt_U
