User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/11-04-007-16W4/00, 10, 1000, 0, ABOVE Kmilk_r_U, 996.1, Kostracod
103/06-13-007-17W4/00, 276.8, 1374.7, 0, ABOVE K2nd_ws, 1359.6, Dstettler
100/06-08-007-19W4/00, 25, 821.8, 0, ABOVE Kpakowki, 748.9, Kbi_ss
100/05-30-007-25W4/00, 606.8, 2808, 0, ABOVE Kpakowki, 2762, Dstettler
100/06-07-007-02W5/00, 25, 3362, 0, ABOVE Kwapiabi, 2333.5, Jferniesh
100/13-08-007-03W5/00, 3417.5, 3887, 975, Mmt_head, 3866.5, Mbanff
100/16-13-007-03W5/00, 3559, 4231.5, 3557.4, Mrundle, 4231.5, Dwabamun
100/14-30-008-03W4/00, 25, 975.8, 0, ABOVE Kbelly_rv, 608, Kmilk_rv
100/04-07-008-04W4/00, 125, 925, 0, ABOVE Kbelly_rv, 539.8, Kmilk_rv
100/05-15-008-04W4/00, 100, 1033.1, 0, ABOVE Kcolorado, 973.1, K2nd_ws
100/16-03-008-15W4/00, 175, 973.6, 0, ABOVE Kmilk_rv, 2837, BELOW Mturner_v_p
100/09-02-008-17W4/00, 246.4, 1022.2, 0, ABOVE Kcolorado, 989, Ksunburst
100/07-20-008-17W4/00, 250, 1050, 0, ABOVE Kmannvl, 835.2, Kmannvl
100/13-02-008-19W4/00, 25, 368.5, 0, ABOVE Kmilk_rv, 303, Kmilk_rv
102/04-10-008-19W4/00, 50, 380, 0, ABOVE Kpakowki, 306.5, Kmilk_rv
100/13-10-008-24W4/00, 2047.7, 2397.5, 1984.3, Mlivngstn, 2344.4, Dstettler
100/04-33-008-03W5/00, 3483, 4160, 1114.5, /FAULT/, 4155.2, Mrundle
100/15-11-009-04W4/00, 25, 939.8, 0, ABOVE Kbelly_rv, 578, Kmilk_rv
100/13-24-009-04W4/00, 25, 545, 0, ABOVE Kbelly_rv, 415.5, Kpakowki
100/16-25-009-08W4/00, 32, 350, 0, ABOVE Kmilk_rv, 332, Kcolorado
100/15-04-009-13W4/00, 225, 425, 0, ABOVE Jsawtooth_p, 3041, Kcadomin_p
102/04-09-009-17W4/00, 384, 1463.7, 0, ABOVE K2nd_ws, 1420.8, Darcs
100/12-26-009-22W4/00, 125, 1225, 0, ABOVE Kbelly_rv, 556.2, Kmilk_rv
100/02-29-009-22W4/00, 150, 1275, 0, ABOVE Kbelly_rv, 572.4, Kmilk_rv
100/06-34-009-22W4/00, 650, 1300, 573.7, Kmilk_rv, 1255, Kmannvl
100/11-24-009-25W4/00, 163.5, 1570, 0, ABOVE Kbelly_rv, 1007, Kmilk_rv
100/14-01-009-04W5/00, 10.4, 1820, 0, ABOVE Mmt_head, 2295, TRmontney_p
100/05-26-009-04W5/00, 617.3, 1918, 0, ABOVE Dwabamun, 305, Kwbsk-mcm_p
100/09-19-010-01W4/00, 250, 1250, 0, ABOVE Kmilk_rv, 1186.6, Mlivngstn
100/16-22-010-02W4/00, 275, 1225, 0, ABOVE Kmilk_rv, 1170.5, Mlivngstn
100/12-29-010-02W4/00, 250, 1300, 0, ABOVE Kmilk_rv, 1258, Mlivngstn
102/07-13-010-08W4/00, 32, 300, 0, ABOVE Kmilk_rv, 289.5, Kcolorado
102/06-14-010-08W4/00, 30, 300, 0, ABOVE Kmilk_rv, 297.5, Kcolorado
100/16-15-010-08W4/00, 30, 300, 0, ABOVE Kmilk_rv, 220, Kmilk_rv
100/16-22-010-13W4/00, 20, 306, 0, ABOVE Kbfs, 1247, Mshunda_p
100/07-35-010-15W4/00, 173, 465, 0, ABOVE Kmed_hat, 331.9, Kmed_hat
100/07-04-010-16W4/00, 10, 1081, 0, ABOVE Kmilk_rv, 1076.3, Ktaber
100/10-04-010-16W4/00, 10, 980, 0, ABOVE Kmilk_rv, 978.6, Ktaber
102/05-36-010-17W4/00, 150.3, 1026.7, 0, ABOVE Kpakowki, 917.2, Kmannvl
100/14-14-010-22W4/00, 625, 1275, 0, ABOVE K2ws_ss, 992.6, K2ws_ss
100/11-13-010-23W4/00, 475, 1400, 283.5, Kbelly_rv, 1390.7, Kmannvl
100/03-22-010-04W5/00, 602, 3250, 0, ABOVE Kdlhousie, 2854.1, Jfernie
