100/01-01-028-21W4/00,Kbelly_rv,401
100/01-01-028-21W4/00,Kbsbrv_ss,616
100/01-01-028-21W4/00,Klea_park,637
100/01-01-028-21W4/00,Kmilk_rv,681.6
100/01-01-028-21W4/00,Kmilk_rv_p,714
100/01-01-030-23W4/00,Kbfs,1282.8
100/01-01-030-23W4/00,Kvik_ss,1314.9
100/01-01-030-23W4/00,Kviking_p,1383.5
100/01-01-039-19W4/00,Kbelly_rv,301.1
100/01-01-039-19W4/00,Kbelly_rv_p,436
100/01-01-046-11W5/00,Kbelly_rv,1740.6
100/01-01-046-11W5/00,Klea_park,2201.6
100/01-01-046-11W5/00,Kcolorado,2409.2
100/01-01-046-11W5/00,Kcardium,2739
100/01-01-046-11W5/00,Kcard_ss,2777.3
100/01-01-046-11W5/00,K2nd_ws,2949
100/01-01-046-11W5/00,Kbfs,3254.3
100/01-01-046-11W5/00,Kvik_ss,3307.2
100/01-01-046-11W5/00,Kmannvl,3342
100/01-01-046-11W5/00,Kmed_rvCO,3502
100/01-01-046-11W5/00,Kmannvl_L,3576.5
100/01-01-046-11W5/00,Jfernie,3627.6
100/01-01-046-11W5/00,Jrock_ck,3655.4
100/01-01-046-11W5/00,Jpokerchp,3678
100/01-01-046-11W5/00,Jnordegg,3690
100/01-01-046-11W5/00,Jnordegg_p,3714
100/01-01-060-21W5/00,Kbelly_rv,1105.7
100/01-01-060-21W5/00,Klea_park,1384
100/01-01-060-21W5/00,Kcolorado,1468.3
100/01-01-060-21W5/00,Kbadheart,1570.7
100/01-01-060-21W5/00,Kcardium,1620
100/01-01-060-21W5/00,Kcard_ss,1648
100/01-01-060-21W5/00,Kblkstn,1688
100/01-01-060-21W5/00,K2nd_ws,1770
100/01-01-060-21W5/00,Kdunvegan,1916.5
100/01-01-060-21W5/00,Kshftbury,1952.5
100/01-01-060-21W5/00,Kbfs,2016.5
100/01-01-060-21W5/00,Kviking,2060
100/01-01-060-21W5/00,Kvik_ss,2067.5
100/01-01-060-21W5/00,Kjoli_fou,2093
100/01-01-060-21W5/00,Kmannvl,2100.1
100/01-01-060-21W5/00,Kbluesky,2331
100/01-01-060-21W5/00,Kgething,2345
100/01-01-060-21W5/00,Kcadomin,2412.5
100/01-01-060-21W5/00,Jfernie,2430
100/01-01-060-21W5/00,Jnordegg,2457.5
100/01-01-060-21W5/00,TRmontney,2486.5
100/01-01-060-21W5/00,Miss_sys_p,2565
